[Wed Sep 04 16:28:53.734019 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.734043 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.734063 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859476 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859497 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859506 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859514 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:54.005652 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:54.005675 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:54.005681 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:54.005686 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:30:01.965598 2019] [php7:warn] [pid 3845] [client ::1:41644] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:30:01.965625 2019] [php7:warn] [pid 3845] [client ::1:41644] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:30:01.965631 2019] [php7:warn] [pid 3845] [client ::1:41644] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:30:01.965637 2019] [php7:warn] [pid 3845] [client ::1:41644] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:13.983784 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:13.983869 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:13.983894 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:13.983915 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.138437 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.138478 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.138489 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.138499 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.298085 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.298114 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.298124 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.298132 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.440065 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.440094 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.440105 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.440113 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.556103 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.556126 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.556137 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:32:14.556145 2019] [php7:warn] [pid 1318] [client ::1:41680] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
